Locus-name_V1_12X,Functional-annotation,Name-EC-KeggID,Updated-name,Network1,Network2
VIT_00s0144g00190,R protein MLA10,K13475,,vv34627R_proteins_from_Plant-pathogen_interaction,
VIT_00s0144g00200,Retrovirus Pol polyprotein,,,,
VIT_00s0144g00210,CCR4-NOT transcription complex  subunit 1,K12604,,vv23018RNA_degradation,
VIT_00s0144g00220,R protein disease resistance protein,RPROT,,vv34627R_proteins_from_Plant-pathogen_interaction,
VIT_00s0144g00230,ABA-responsive element-binding protein 3 (AREB3),AREB3_4,,vv30001ABA_signaling,vv60012BZIP
VIT_00s0144g00240,No hit,,,,
VIT_00s0144g00250,Small subunit ribosomal protein S27Ae,K02977,,vv23010Ribosome,
VIT_00s0144g00260,Ribosomal protein S27,K02978,,vv23010Ribosome,
VIT_00s0144g00270,R protein MLA10,K13475,,vv34627R_proteins_from_Plant-pathogen_interaction,
VIT_00s0144g00280,No hit,,,,
VIT_00s0144g00290,No hit,,,,
VIT_00s0144g00300,HcrVf2 protein,,,,
VIT_00s0145g00010,Retrovirus Pol polyprotein,,,,
VIT_00s0145g00020,Integrase,,,,
VIT_00s0145g00030,Retrovirus Pol polyprotein,,,,
VIT_00s0145g00040,Integrase,,,,
VIT_00s0145g00050,Transposon,,,,
VIT_00s0145g00060,No hit,,,,
VIT_00s0145g00070,DNA-directed RNA polymerase subunit beta',K03046,,vv23020RNA_polymerase,
VIT_00s0145g00080,Retrotransposon gag protein,,,,
VIT_00s0145g00090,Pol polyprotein,,,,
VIT_00s0145g00100,No hit,,,,
VIT_00s0145g00110,Pirin,K06911,,,
VIT_00s0153g00010,Acylamino-acid-releasing enzyme,E3_4_19_1,,,
VIT_00s0153g00020,No hit,,,,
VIT_00s0153g00030,No hit,,,,
VIT_00s0153g00040,S-locus receptor kinase,,,,
VIT_00s0153g00050,Glutathione S-transferase 8 GSTU8,E2_5_1_18_GSTU8,,vv10480Glutathione_metabolism,
VIT_00s0153g00060,3-methylcrotonyl-CoA carboxylase  biotin-carrier domain,E6_4_1_4,,vv10280Valine_leucine_and_isoleucine_degradation,
VIT_00s0153g00070,Glutathione S-transferase 8 GSTU8,E2_5_1_18_GSTU8,,vv10480Glutathione_metabolism,
VIT_00s0153g00080,Adaptor-related protein complex 4  beta 1,AP4B1,,vv50110Protein_coat,
VIT_00s0153g00090,No hit,,,,
VIT_00s0153g00100,Retrovirus Pol polyprotein,,,,
VIT_00s0160g00010,No hit,,,,
VIT_00s0160g00020,No hit,,,,
VIT_00s0160g00030,No hit,,,,
VIT_00s0160g00040,Pentatricopeptide repeat-containing protein,,,,
VIT_00s0160g00050,Midasin-related,,,,
VIT_00s0160g00060,Retrotransposon gag protein,,,,
VIT_00s0160g00070,No hit,,,,
VIT_00s0160g00080,Transposon,,,,
VIT_00s0160g00090,TIR-NBS-LRR-TIR disease resistance protein,,,,
VIT_00s0160g00100,Disease resistance protein (TIR-NBS-LRR class,,,,
VIT_00s0160g00110,TIR-NBS-TIR type disease resistance protein,,,,
VIT_00s0160g00120,No hit,,,,
VIT_00s0160g00130,No hit,,,,
VIT_00s0160g00140,Kinesin family member 2/24,K10393,,vv44810Regulation_of_actin_cytoskeleton,
VIT_00s0160g00150,No hit,,,,
VIT_00s0160g00160,No hit,,,,
VIT_00s0160g00170,No hit,,,,
VIT_00s0160g00180,Histone H3,,,,
VIT_00s0160g00190,Pol polyprotein,,,,
VIT_00s0160g00200,HAT dimerisation domain-containing protein,,,,
VIT_00s0160g00210,Myosin heavy chain,MYOSINHC,,vv44810Regulation_of_actin_cytoskeleton,
VIT_00s0160g00220,Unknown protein,,,,
VIT_00s0160g00230,Pol polyprotein,,,,
VIT_00s0160g00240,Cullin-1,K03347,,vv24120Ubiquitin_mediated_proteolysis,vv30003Auxin_signaling
VIT_00s0160g00250,No hit,,,,
VIT_00s0160g00260,No hit,,,,
VIT_00s0160g00270,No hit,,,,
VIT_00s0160g00280,No hit,,,,
VIT_00s0160g00290,No hit,,,,
VIT_00s0160g00300,No hit,,,,
VIT_00s0160g00310,Disease resistance protein (TIR-NBS-LRR class,,,,
VIT_00s0160g00320,TIR-NBS-LRR type R protein 7,,,,
VIT_00s0160g00330,TIR-NBS-LRR disease resistance,,,,
VIT_00s0160g00340,Unknown,,,,
VIT_00s0160g00350,Pentatricopeptide repeat-containing protein,,,,
VIT_00s0160g00360,TIR-NBS-LRR disease resistance,,,,
VIT_00s0160g00370,Meiotic recombination 11 MRE11,K10865,,vv23440Homologous_recombination,vv23450Non_homologous_end_joining
VIT_00s0163g00010,No hit,,,,
VIT_00s0163g00020,AarF domain-containing kinase ABC1,K08869,,,
VIT_00s0163g00030,AarF domain containing kinase,K08869,,,
VIT_00s0163g00040,No hit,,,,
VIT_00s0163g00050,Argininosuccinate synthase,E6_3_4_5,,vv10220Urea_cycle_and_metabolism_of_amino_groups,vv10252Alanine_and_aspartate_metabolism
VIT_00s0163g00060,Zinc finger (C3HC4-type ring finger),ZFC3HC4_229,,vv60078Other_zf-C3HC4,
VIT_00s0163g00070,Double-stranded DNA-binding protein,,,,
VIT_00s0163g00080,Peptidase family,,,,
VIT_00s0163g00090,Retrovirus Pol polyprotein,,,,
VIT_00s0163g00100,No hit,,,,
VIT_00s0163g00110,Integrase,,,,
VIT_00s0163g00120,Integrase,,,,
VIT_00s0163g00130,Retrovirus Pol polyprotein,,,,
VIT_00s0163g00140,Integrase,,,,
VIT_00s0163g00150,No hit,,,,
VIT_00s0163g00160,Retrovirus Pol polyprotein,,,,
VIT_00s0169g00010,No hit,,,,
VIT_00s0169g00020,Transposon,,,,
VIT_00s0169g00030,Methyltransferase,,,,
VIT_00s0169g00040,CTV.22,,,,
VIT_00s0169g00050,No hit,,,,
VIT_00s0169g00060,No hit,,,,
VIT_00s0169g00070,No hit,,,,
VIT_00s0169g00080,Unknown,,,,
VIT_00s0169g00090,No hit,,,,
VIT_00s0169g00100,No hit,,,,
VIT_00s0169g00110,No hit,,,,
VIT_00s0169g00120,No hit,,,,
VIT_00s0169g00130,Retrovirus Pol polyprotein,,,,
VIT_00s0169g00140,Gag polyprotein,,,,
VIT_00s0169g00150,No hit,,,,
VIT_00s0173g00010,Retrovirus Pol polyprotein,,,,
VIT_00s0173g00020,Pro-Pol polyprotein,,,,
VIT_00s0173g00030,No hit,,,,
VIT_00s0173g00040,AAA-type ATPase,,,,
VIT_00s0173g00050,Retrovirus Pol polyprotein,,,,
VIT_00s0173g00060,No hit,,,,
VIT_00s0173g00070,AAA-type ATPase,,,,
VIT_00s0173g00080,No hit,,,,
VIT_00s0173g00090,Retrovirus Pol polyprotein,,,,
VIT_00s0173g00100,Integrase,,,,
VIT_00s0173g00110,Trehalose-phosphatase,E2_4_1_15,,vv10500Starch_and_sucrose_metabolism,
VIT_00s0173g00120,No hit,,,,
VIT_00s0173g00130,RKF1 (receptor-like kinase in flowers 1),,,,
VIT_00s0173g00140,No hit,,,,
VIT_00s0173g00150,No hit,,,,
VIT_00s0173g00160,Retroelement pol polyprotein,,,,
VIT_00s0173g00170,Ribosomal protein S7 30S,K02992,,vv23010Ribosome,
VIT_00s0173g00180,Unknown,,,,
VIT_00s0173g00190,Copia,,,,
VIT_00s0173g00200,No hit,,,,
VIT_00s0173g00210,Retrovirus Pol polyprotein,,,,
VIT_00s0173g00220,CTV.22,,,,
VIT_00s0173g00230,No hit,,,,
VIT_00s0173g00240,No hit,,,,
VIT_00s0173g00250,RKF1 (receptor-like kinase in flowers 1),,,,
VIT_00s0173g00260,ATP binding,,,,
VIT_00s0173g00270,No hit,,,,
VIT_00s0174g00010,No hit,,,,
VIT_00s0174g00020,Retroelement polyprotein,,,,
VIT_00s0174g00030,Retrovirus Pol polyprotein,,,,
VIT_00s0174g00040,Copia protein,,,,
VIT_00s0174g00050,Reverse transcriptase,,,,
VIT_00s0174g00060,No hit,,,,
VIT_00s0174g00070,Ankyrin repeat protein,,,,
VIT_00s0174g00080,Ankyrin repeat protein,,,,
VIT_00s0174g00090,far-red impaired responsive family protein,FRSFAM_2,,vv60071Orphans_far-red,
VIT_00s0174g00100,far-red impaired responsive family protein,FRSFAM_10,,vv60071Orphans_far-red,
VIT_00s0174g00110,Unknown protein,,,,
VIT_00s0174g00120,far-red impaired responsive family protein,FRSFAM_6,,vv60071Orphans_far-red,
VIT_00s0174g00130,far-red impaired responsive family protein,FRSFAM_7,,vv60071Orphans_far-red,
VIT_00s0174g00140,far-red impaired responsive family protein,FRSFAM_4,,vv60071Orphans_far-red,
VIT_00s0174g00150,Ubiquitin-specific protease 5 (UBP5),,,,
VIT_00s0174g00160,Unknown protein,,,,
VIT_00s0174g00170,Myb family,MYBREL_6,,vv60045MYBrelated,
VIT_00s0174g00180,No hit,,,,
VIT_00s0174g00190,Ribosomal protein L5 60S,K02931,,vv23010Ribosome,
VIT_00s0174g00200,GTPase XAB1,,,,
VIT_00s0174g00210,Cinnamyl alcohol dehydrogenase,E1_1_1_195,,vv10940Phenylpropanoid_biosynthesis,
VIT_00s0174g00220,Cinnamyl alcohol dehydrogenase,E1_1_1_195,,vv10940Phenylpropanoid_biosynthesis,
VIT_00s0174g00230,Zinc finger (FYVE type),SIZ1_3,,vv30009Flower_development,vv60048PHD
VIT_00s0174g00240,ATP-dependent RNA helicase DDX18,K13179,,vv50133Primary_active_transporter_cat_A9_to_A18,
VIT_00s0174g00250,Unknown,,,,
VIT_00s0174g00260,Ubiquitin-specific protease 23 (UBP23),,,,
VIT_00s0174g00270,D-isomer specific 2-hydroxyacid dehydrogenase  NAD-binding,E1_1_1_272,,vv10272Cysteine_metabolism,
VIT_00s0174g00280,D-isomer specific 2-hydroxyacid dehydrogenase  NAD-binding,E1_1_1_272,,vv10272Cysteine_metabolism,
VIT_00s0174g00290,Unknown protein,,,,
VIT_00s0174g00300,Intron maturase  type II,,,,
VIT_00s0174g00310,Ribonuclease T2,E3_1_27_1,,,
VIT_00s0174g00320,Unknown protein,,,,
VIT_00s0174g00330,formin protein AHF1,FH1,,vv44810Regulation_of_actin_cytoskeleton,
VIT_00s0179g00010,Ankyrin,K10380,,,
VIT_00s0179g00020,Ankyrin,K10380,,,
VIT_00s0179g00030,Ankyrin,K10380,,vv50108Accessory_factors_involved_in_transport,
VIT_00s0179g00040,Ankyrin,K10380,,,
VIT_00s0179g00050,Ankyrin,K10380,,,
VIT_00s0179g00060,Ankyrin,K10380,,,
VIT_00s0179g00070,Ankyrin,K10380,,,
VIT_00s0179g00080,Ankyrin,K10380,,,
VIT_00s0179g00090,TIFY 4B (Protein PEAPOD 2),TIFY4B,,vv60069ZIM,
VIT_00s0179g00100,Ethylene overproducer 1 (ETO1),ETO1_1,,vv30008Ethylene_signaling,vv60093TRAF
VIT_00s0179g00110,Protein phosphatase 2C,,,,
VIT_00s0179g00120,Retrovirus Pol polyprotein,,,,
VIT_00s0179g00130,Protein phosphatase 2C / PP2C,E3_1_3_16,,,
VIT_00s0179g00140,Protein phosphatase 2C / PP2C,E3_1_3_16,,,
VIT_00s0179g00150,Heat shock transcription factor A6B,HSFA6B_4,,vv60037HSF,
VIT_00s0179g00160,No hit,,,,
VIT_00s0179g00170,Indeterminate(ID)-domain 12,IDD12,,vv60017C2H2,
VIT_00s0179g00180,Transcription factor jumonji (jmjC) domain-containing protein,JMJD7_2,,vv60038Jumonji,
VIT_00s0179g00190,Transcription factor jumonji (jmjC) domain-containing protein,JMJD7_3,,vv60038Jumonji,
VIT_00s0179g00200,Coated vesicle membrane protein,,,,
VIT_00s0179g00210,WD-40 repeat / beige,,,,
VIT_00s0179g00220,Pentatricopeptide repeat,,,,
VIT_00s0179g00230,No hit,,,,
VIT_00s0179g00240,No hit,,,,
VIT_00s0179g00250,No hit,,,,
VIT_00s0179g00260,Calcium-transporting ATPase 12 ACA12,K01537,,vv34020Calcium_signaling_pathway,vv50131Primary_active_transporter_cat_A2_to_A4
VIT_00s0179g00270,Unknown protein,,,,
VIT_00s0179g00280,Calmodulin-8 (CAM8),K02183,,vv34020Calcium_signaling_pathway,vv34626Plant-pathogen_interaction
VIT_00s0179g00290,Peptidyl-prolyl isomerase D (cyclophilin D),K05864,,vv34020Calcium_signaling_pathway,
VIT_00s0179g00300,MPBQ/MSBQ methyltransferase 2,K12502,,vv10100Biosynthesis_of_steroids,
VIT_00s0179g00310,Ammonium transporter 2,AMT2,,vv50101Channels_and_pores,
VIT_00s0179g00320,Unknown protein,,,,
VIT_00s0179g00330,Unknown protein,,,,
VIT_00s0179g00340,Histone H2A variant 1 HTA11,H2AV1,,,
VIT_00s0179g00350,Pyruvate kinase isozyme A  chloroplast precursor,E2_7_1_40,,vv10010Glycolysis,vv10230Purine_metabolism
VIT_00s0179g00360,Unknown protein,,,,
VIT_00s0179g00370,ESCRT-I complex subunit TSG101,VPS23,,vv50111Tethering_factors,
VIT_00s0179g00380,Beta-ketoacyl-CoA synthase,E2_3_1_41,,vv10061Fatty_acid_biosynthesis,
VIT_00s0181g00010,Sugar transporter 1,STP1,,vv50121Porters_cat_1_to_6,
VIT_00s0181g00020,Armadillo/beta-catenin repeat,,,,
VIT_00s0181g00030,No hit,,,,
VIT_00s0181g00040,TIR1 (transport inhibitor response 1),TIR1,,vv30003Auxin_signaling,
VIT_00s0181g00050,Unknown protein,,,,
VIT_00s0181g00060,Unknown protein,,,,
VIT_00s0181g00070,ARV2,,,,
VIT_00s0181g00080,F-box domain containing protein,,,,
VIT_00s0181g00090,WD-repeat protein,,,,
VIT_00s0181g00100,Unknown protein,,,,
VIT_00s0181g00110,ARV1,,,,
VIT_00s0181g00120,WD-repeat protein,,,,
VIT_00s0181g00130,Riboflavin kinase,E2_7_1_26,,vv10740Riboflavin_metabolism,
VIT_00s0181g00140,Riboflavin kinase,E2_7_1_26,,vv10740Riboflavin_metabolism,
VIT_00s0181g00150,F-box domain containing protein,,,,
VIT_00s0181g00160,F-box family protein,,,,
VIT_00s0181g00170,F-box family protein,,,,
VIT_00s0181g00180,LHCB3 (light-harvesting chlorophyll binding protein 3),K08914,,vv10196Photosynthesis_antenna_proteins,vv50105Transport_electron_carriers
VIT_00s0181g00190,D-erythro-sphingosine kinase,E2_7_1_107,,vv10561Glycerolipid_metabolism,vv10564Glycerophospholipid_metabolism
VIT_00s0181g00200,LHCB3 (light-harvesting chlorophyll binding protein 3),K08914,,vv10196Photosynthesis_antenna_proteins,vv50105Transport_electron_carriers
VIT_00s0181g00210,Anaphase promoting complex subunit 4,K03351,,vv24120Ubiquitin_mediated_proteolysis,vv44110Cell_cycle
VIT_00s0181g00220,Calmodulin-binding protein,K02183,,vv34020Calcium_signaling_pathway,vv34626Plant-pathogen_interaction
VIT_00s0181g00230,LSD ONE like 2,LOL2,,,
VIT_00s0181g00240,Unknown,,,,
VIT_00s0181g00250,Diacylglycerol kinase,E2_7_1_107,,vv10561Glycerolipid_metabolism,vv10564Glycerophospholipid_metabolism
VIT_00s0181g00260,High-level expression of sugar-inducible like 1,HSL1_1,,vv60001ABI3VP1,
VIT_00s0183g00010,Actin 7 (ACT7) / actin 2,ACT7,,vv44810Regulation_of_actin_cytoskeleton,
VIT_00s0183g00020,No hit,,,,
VIT_00s0183g00030,TIP41,,,,
VIT_00s0183g00040,Importin alpha,IMPALPHA,,vv50109Incompletely_characterized_transport_systems,vv50112Nuclear_pore_complex
VIT_00s0183g00050,No hit,,,,
VIT_00s0183g00060,No hit,,,,
VIT_00s0183g00070,No hit,,,,
VIT_00s0183g00080,No hit,,,,
VIT_00s0183g00090,Retroelement integrase,,,,
VIT_00s0183g00100,No hit,,,,
VIT_00s0183g00110,Gag-pol polyprotein,,,,
VIT_00s0183g00120,Retrovirus Pol polyprotein,,,,
VIT_00s0183g00130,No hit,,,,
VIT_00s0183g00140,NADP-dependent malic enzyme,E1_1_1_39,,vv10620Pyruvate_metabolism,vv10710Carbon_fixation
VIT_00s0183g00150,Pleckstrin homology (PH) domain-containing,,,,
VIT_00s0183g00160,No hit,,,,
VIT_00s0183g00170,Transposon,,,,
VIT_00s0183g00180,No hit,,,,
VIT_00s0183g00190,Transposon,,,,
VIT_00s0183g00200,No hit,,,,
VIT_00s0183g00210,Importin alpha,IMPALPHA,,vv50109Incompletely_characterized_transport_systems,vv50112Nuclear_pore_complex
VIT_00s0183g00220,L-ascorbate peroxidase 1  cytosolic (APX1),E1_11_1_11,,vv10053Ascorbate_and_aldarate_metabolism,
VIT_00s0183g00230,No hit,,,,
VIT_00s0183g00240,Elongation factor 1-alpha 1,K03231,,vv23013RNA_transport,
VIT_00s0183g00250,No hit,,,,
VIT_00s0183g00260,No hit,,,,
VIT_00s0184g00010,AP2 domain-containing transcription factor family,AP2_7,,vv30008Ethylene_signaling,vv60003AP2_EREBP
VIT_00s0184g00020,Import inner membrane translocase subunit Tim17/Tim22/Tim23,TIM17,,vv50132Primary_active_transporter_cat_A5_to_A8,
VIT_00s0184g00030,forkhead-associated domain-containing protein,FHADOM_4,,vv60028FHA,
VIT_00s0184g00040,Mini-chromosome maintenance protein MCM6,K02542,,vv23030DNA_replication,vv44110Cell_cycle
VIT_00s0184g00050,B-cell receptor-associated protein 31,,,,
VIT_00s0184g00060,Pentatricopeptide (PPR) repeat-containing,,,,
VIT_00s0184g00070,Pyruvate kinase,E2_7_1_40,,vv10010Glycolysis,vv10230Purine_metabolism
VIT_00s0184g00080,Integrase,,,,
VIT_00s0184g00090,Retroelement pol polyprotein,,,,
VIT_00s0184g00100,Pyruvate kinase,E2_7_1_40,,vv10010Glycolysis,vv10230Purine_metabolism
VIT_00s0184g00110,Auxin-induced protein (AIR12),AIR12,,vv30003Auxin_signaling,
VIT_00s0184g00120,R protein L6,K13477,,vv34627R_proteins_from_Plant-pathogen_interaction,
VIT_00s0184g00130,R protein L6,K13477,,vv34627R_proteins_from_Plant-pathogen_interaction,
VIT_00s0184g00140,No hit,,,,
VIT_00s0184g00150,Transposon,,,,
VIT_00s0184g00160,No hit,,,,
VIT_00s0184g00170,No hit,,,,
VIT_00s0184g00180,CRR2 (chlororespiratory reduction 2),,,,
VIT_00s0184g00190,No hit,,,,
VIT_00s0184g00200,No hit,,,,
VIT_00s0184g00210,No hit,,,,
VIT_00s0184g00220,No hit,,,,
VIT_00s0184g00230,No hit,,,,
VIT_00s0186g00010,Hexaprenyldihydroxybenzoate methyltransferase,E2_1_1_114,,vv10130Ubiquinone_biosynthesis,
VIT_00s0186g00020,SUM2 (small ubiquitin-like modifier 2),K12160,,vv23013RNA_transport,
VIT_00s0186g00030,No hit,,,,
VIT_00s0186g00040,Retrovirus Pol polyprotein,,,,
VIT_00s0186g00050,No hit,,,,
VIT_00s0186g00060,No hit,,,,
VIT_00s0186g00070,No hit,,,,
VIT_00s0186g00080,SUM2 (small ubiquitin-like modifier 2),K12160,,vv23013RNA_transport,
VIT_00s0186g00090,Zinc finger (C3HC4-type ring finger),ZFC3HC4_5,,vv60078Other_zf-C3HC4,
VIT_00s0186g00100,Cell cycle checkpoint protein,K02830,,,
